Clone Overlap for Change version-654, vhdl.c, c, 529, 533: 1 (CloneClass: 28)
Clone Overlap for Change version-656, vhdl.c, c, 439, 439: 1 (CloneClass: 22)
Clone Overlap for Change version-656, vhdl.c, c, 456, 456: 2 (CloneClass: 37, 94)
Clone Overlap for Change version-656, vhdl.c, c, 482, 483: 2 (CloneClass: 13, 22)
Clone Overlap for Change version-656, vhdl.c, c, 505, 505: 1 (CloneClass: 57)
Clone Overlap for Change version-656, vhdl.c, c, 509, 510: 1 (CloneClass: 57)
Clone Overlap for Change version-657, eiffel.c, d, 400, 406: 1 (CloneClass: 49)
Clone Overlap for Change version-657, jscript.c, d, 201, 207: 1 (CloneClass: 49)
Clone Overlap for Change version-657, sql.c, d, 337, 343: 1 (CloneClass: 49)
Clone Overlap for Change version-657, vhdl.c, d, 321, 327: 1 (CloneClass: 49)
Clone Overlap for Change version-658, eiffel.c, d, 243, 248: 1 (CloneClass: 48)
Clone Overlap for Change version-658, jscript.c, d, 171, 176: 1 (CloneClass: 48)
Clone Overlap for Change version-658, sql.c, d, 307, 312: 1 (CloneClass: 48)
Clone Overlap for Change version-658, vhdl.c, d, 291, 296: 1 (CloneClass: 48)
Clone Overlap for Change version-658, vhdl.c, c, 458, 458: 1 (CloneClass: 100)
Clone Overlap for Change version-658, vhdl.c, c, 464, 464: 2 (CloneClass: 56, 100)
Clone Overlap for Change version-662, sql.c, c, 493, 493: 1 (CloneClass: 75)
Clone Overlap for Change version-663, jscript.c, a, 161, 161: 1 (CloneClass: 47)
Clone Overlap for Change version-663, jscript.c, c, 163, 165: 2 (CloneClass: 47)
Clone Overlap for Change version-663, jscript.c, a, 166, 166: 1 (CloneClass: 47)
Clone Overlap for Change version-663, jscript.c, c, 168, 170: 1 (CloneClass: 47)
Clone Overlap for Change version-663, jscript.c, c, 572, 573: 1 (CloneClass: 98)
Clone Overlap for Change version-663, jscript.c, c, 576, 576: 2 (CloneClass: 66, 98)
Clone Overlap for Change version-672, vhdl.c, d, 463, 463: 1 (CloneClass: 59)
Clone Overlap for Change version-672, vhdl.c, c, 468, 469: 1 (CloneClass: 59)
Clone Overlap for Change version-674, python.c, a, 300, 300: 1 (CloneClass: 90)
Clone Overlap for Change version-686, flex.c, c, 511, 511: 1 (CloneClass: 44)
Clone Overlap for Change version-690, vhdl.c, c, 512, 512: 1 (CloneClass: 83)
Clone Overlap for Change version-693, tex.c, c, 121, 121: 1 (CloneClass: 40)
Clone Overlap for Change version-693, tex.c, c, 132, 132: 1 (CloneClass: 32)
Clone Overlap for Change version-693, tex.c, d, 238, 271: 9 (CloneClass: 23, 33, 89, 113)
Clone Overlap for Change version-696, tex.c, d, 220, 222: 1 (CloneClass: 132)
Clone Overlap for Change version-702, sql.c, c, 819, 819: 1 (CloneClass: 61)
Clone Overlap for Change version-705, eiffel.c, a, 399, 399: 1 (CloneClass: 43)
