Clone Overlap for Change version-251, readtags.c, c, 456, 456: 1 (CloneClass: 30)
Clone Overlap for Change version-251, readtags.c, c, 489, 489: 1 (CloneClass: 30)
Clone Overlap for Change version-257, vim.c, a, 54, 54: 1 (CloneClass: 8)
Clone Overlap for Change version-258, vim.c, c, 69, 69: 1 (CloneClass: 8)
Clone Overlap for Change version-261, php.c, d, 32, 34: 1 (CloneClass: 6)
Clone Overlap for Change version-264, erlang.c, c, 34, 35: 1 (CloneClass: 15)
Clone Overlap for Change version-264, erlang.c, c, 40, 40: 1 (CloneClass: 15)
Clone Overlap for Change version-264, erlang.c, c, 43, 45: 2 (CloneClass: 15, 33)
Clone Overlap for Change version-264, erlang.c, c, 47, 48: 1 (CloneClass: 33)
Clone Overlap for Change version-264, erlang.c, c, 50, 51: 1 (CloneClass: 33)
Clone Overlap for Change version-264, erlang.c, c, 53, 55: 1 (CloneClass: 33)
Clone Overlap for Change version-264, erlang.c, c, 57, 67: 1 (CloneClass: 15)
Clone Overlap for Change version-275, perl.c, c, 59, 59: 1 (CloneClass: 21)
Clone Overlap for Change version-286, c.c, c, 573, 574: 1 (CloneClass: 1)
Clone Overlap for Change version-288, sql.c, d, 133, 135: 1 (CloneClass: 16)
Clone Overlap for Change version-288, sql.c, d, 148, 149: 1 (CloneClass: 13)
Clone Overlap for Change version-330, sql.c, a, 261, 261: 1 (CloneClass: 65)
Clone Overlap for Change version-330, sql.c, d, 309, 315: 1 (CloneClass: 47)
Clone Overlap for Change version-330, sql.c, c, 322, 324: 2 (CloneClass: 2, 4)
Clone Overlap for Change version-330, sql.c, d, 328, 328: 3 (CloneClass: 2, 4, 6)
Clone Overlap for Change version-330, sql.c, a, 329, 329: 3 (CloneClass: 2, 4, 6)
Clone Overlap for Change version-330, sql.c, c, 331, 333: 3 (CloneClass: 2, 4, 6)
Clone Overlap for Change version-330, sql.c, c, 337, 338: 3 (CloneClass: 2, 4, 6)
Clone Overlap for Change version-330, sql.c, a, 348, 348: 2 (CloneClass: 11, 65)
Clone Overlap for Change version-338, keyword.c, c, 77, 77: 1 (CloneClass: 32)
Clone Overlap for Change version-340, verilog.c, d, 71, 83: 1 (CloneClass: 35)
Clone Overlap for Change version-340, verilog.c, a, 91, 91: 1 (CloneClass: 19)
Clone Overlap for Change version-341, php.c, a, 43, 43: 1 (CloneClass: 8)
Clone Overlap for Change version-368, c.c, c, 401, 401: 1 (CloneClass: 46)
Clone Overlap for Change version-368, c.c, d, 496, 496: 1 (CloneClass: 4)
Clone Overlap for Change version-368, c.c, c, 560, 570: 1 (CloneClass: 1)
Clone Overlap for Change version-368, c.c, a, 582, 582: 2 (CloneClass: 1)
Clone Overlap for Change version-368, c.c, a, 595, 595: 1 (CloneClass: 3)
Clone Overlap for Change version-368, c.c, a, 606, 606: 2 (CloneClass: 1)
Clone Overlap for Change version-368, c.c, a, 1619, 1619: 1 (CloneClass: 2)
Clone Overlap for Change version-368, c.c, a, 1620, 1620: 1 (CloneClass: 2)
Clone Overlap for Change version-368, c.c, c, 1648, 1648: 1 (CloneClass: 40)
Clone Overlap for Change version-383, vim.c, c, 53, 53: 1 (CloneClass: 4)
Clone Overlap for Change version-388, sml.c, c, 111, 111: 1 (CloneClass: 54)
Clone Overlap for Change version-389, sml.c, c, 114, 118: 1 (CloneClass: 18)
Clone Overlap for Change version-390, sml.c, c, 111, 111: 1 (CloneClass: 57)
Clone Overlap for Change version-394, php.c, a, 30, 30: 1 (CloneClass: 7)
Clone Overlap for Change version-394, php.c, a, 46, 46: 1 (CloneClass: 8)
Clone Overlap for Change version-394, php.c, a, 57, 57: 1 (CloneClass: 8)
Clone Overlap for Change version-400, perl.c, c, 72, 72: 1 (CloneClass: 53)
Clone Overlap for Change version-400, perl.c, c, 86, 87: 1 (CloneClass: 53)
Clone Overlap for Change version-410, asp.c, a, 83, 83: 2 (CloneClass: 6)
Clone Overlap for Change version-416, strlist.c, c, 29, 29: 1 (CloneClass: 16)
Clone Overlap for Change version-416, strlist.c, c, 81, 82: 1 (CloneClass: 26)
Clone Overlap for Change version-416, strlist.c, d, 84, 84: 1 (CloneClass: 26)
Clone Overlap for Change version-416, strlist.c, c, 86, 87: 1 (CloneClass: 26)
Clone Overlap for Change version-416, strlist.c, c, 89, 90: 1 (CloneClass: 26)
Clone Overlap for Change version-416, strlist.c, d, 92, 92: 1 (CloneClass: 26)
Clone Overlap for Change version-416, strlist.c, c, 94, 95: 1 (CloneClass: 26)
Clone Overlap for Change version-416, strlist.c, c, 97, 98: 1 (CloneClass: 26)
Clone Overlap for Change version-422, ruby.c, c, 24, 43: 2 (CloneClass: 6)
Clone Overlap for Change version-422, ruby.c, c, 45, 79: 5 (CloneClass: 6, 52)
Clone Overlap for Change version-422, ruby.c, c, 86, 86: 1 (CloneClass: 20)
Clone Overlap for Change version-428, eiffel.c, c, 610, 612: 1 (CloneClass: 2)
Clone Overlap for Change version-431, make.c, c, 69, 69: 1 (CloneClass: 12)
Clone Overlap for Change version-434, make.c, c, 15, 17: 1 (CloneClass: 23)
Clone Overlap for Change version-434, make.c, c, 19, 23: 1 (CloneClass: 23)
Clone Overlap for Change version-441, c.c, a, 1760, 1760: 1 (CloneClass: 44)
Clone Overlap for Change version-442, c.c, c, 686, 695: 2 (CloneClass: 1)
Clone Overlap for Change version-442, eiffel.c, c, 792, 793: 1 (CloneClass: 15)
Clone Overlap for Change version-442, keyword.c, c, 45, 46: 1 (CloneClass: 15)
Clone Overlap for Change version-442, verilog.c, c, 69, 70: 1 (CloneClass: 24)
Clone Overlap for Change version-452, python.c, c, 79, 83: 1 (CloneClass: 42)
Clone Overlap for Change version-452, python.c, c, 110, 112: 1 (CloneClass: 18)
Clone Overlap for Change version-452, python.c, c, 114, 114: 1 (CloneClass: 18)
Clone Overlap for Change version-454, python.c, c, 121, 122: 1 (CloneClass: 24)
Clone Overlap for Change version-460, jscript.c, c, 11, 12: 1 (CloneClass: 27)
Clone Overlap for Change version-460, sql.c, a, 137, 137: 1 (CloneClass: 17)
Clone Overlap for Change version-460, sql.c, a, 142, 142: 1 (CloneClass: 10)
Clone Overlap for Change version-460, sql.c, a, 264, 264: 1 (CloneClass: 33)
Clone Overlap for Change version-460, sql.c, c, 266, 266: 1 (CloneClass: 33)
Clone Overlap for Change version-460, sql.c, c, 281, 283: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, c, 285, 288: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, a, 292, 292: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, c, 294, 295: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, c, 297, 297: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, a, 298, 298: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, c, 324, 324: 1 (CloneClass: 35)
Clone Overlap for Change version-460, sql.c, a, 338, 338: 1 (CloneClass: 47)
Clone Overlap for Change version-460, sql.c, a, 357, 357: 1 (CloneClass: 9)
Clone Overlap for Change version-460, sql.c, a, 358, 358: 1 (CloneClass: 9)
Clone Overlap for Change version-460, sql.c, a, 359, 359: 1 (CloneClass: 9)
Clone Overlap for Change version-460, sql.c, c, 387, 388: 1 (CloneClass: 7)
Clone Overlap for Change version-460, sql.c, a, 389, 389: 1 (CloneClass: 7)
Clone Overlap for Change version-460, sql.c, c, 391, 391: 2 (CloneClass: 7, 35)
Clone Overlap for Change version-460, sql.c, d, 393, 393: 2 (CloneClass: 7, 35)
Clone Overlap for Change version-460, sql.c, c, 395, 395: 1 (CloneClass: 7)
Clone Overlap for Change version-460, sql.c, a, 400, 400: 1 (CloneClass: 7)
Clone Overlap for Change version-460, sql.c, c, 402, 402: 2 (CloneClass: 7, 33)
Clone Overlap for Change version-460, sql.c, c, 404, 405: 2 (CloneClass: 7, 33)
Clone Overlap for Change version-460, sql.c, a, 406, 406: 1 (CloneClass: 7)
Clone Overlap for Change version-466, jscript.c, d, 278, 281: 2 (CloneClass: 2, 92)
Clone Overlap for Change version-467, jscript.c, c, 304, 307: 2 (CloneClass: 32, 91)
Clone Overlap for Change version-467, jscript.c, c, 347, 347: 1 (CloneClass: 20)
Clone Overlap for Change version-467, jscript.c, a, 437, 437: 2 (CloneClass: 5, 17)
Clone Overlap for Change version-467, jscript.c, c, 462, 462: 1 (CloneClass: 58)
Clone Overlap for Change version-467, jscript.c, c, 509, 509: 1 (CloneClass: 10)
Clone Overlap for Change version-467, sql.c, d, 430, 434: 1 (CloneClass: 52)
Clone Overlap for Change version-468, python.c, c, 55, 55: 1 (CloneClass: 76)
Clone Overlap for Change version-468, python.c, c, 59, 60: 1 (CloneClass: 34)
Clone Overlap for Change version-469, jscript.c, a, 124, 124: 1 (CloneClass: 28)
Clone Overlap for Change version-469, jscript.c, a, 190, 190: 1 (CloneClass: 42)
Clone Overlap for Change version-469, jscript.c, c, 382, 385: 1 (CloneClass: 35)
Clone Overlap for Change version-469, jscript.c, c, 388, 388: 1 (CloneClass: 5)
Clone Overlap for Change version-469, jscript.c, a, 396, 396: 3 (CloneClass: 5, 6, 9)
Clone Overlap for Change version-469, jscript.c, c, 406, 407: 1 (CloneClass: 5)
Clone Overlap for Change version-469, jscript.c, c, 447, 450: 1 (CloneClass: 35)
Clone Overlap for Change version-469, jscript.c, c, 457, 465: 1 (CloneClass: 10)
Clone Overlap for Change version-469, jscript.c, c, 467, 467: 2 (CloneClass: 10, 64)
Clone Overlap for Change version-469, jscript.c, c, 469, 469: 2 (CloneClass: 10, 64)
Clone Overlap for Change version-469, jscript.c, d, 471, 472: 1 (CloneClass: 10)
Clone Overlap for Change version-469, jscript.c, c, 474, 474: 1 (CloneClass: 10)
Clone Overlap for Change version-469, jscript.c, c, 481, 482: 3 (CloneClass: 5, 20)
Clone Overlap for Change version-469, jscript.c, a, 493, 493: 1 (CloneClass: 31)
Clone Overlap for Change version-469, jscript.c, a, 496, 496: 1 (CloneClass: 31)
Clone Overlap for Change version-469, jscript.c, a, 497, 497: 1 (CloneClass: 31)
Clone Overlap for Change version-473, vim.c, a, 28, 28: 1 (CloneClass: 86)
Clone Overlap for Change version-473, vim.c, c, 53, 53: 1 (CloneClass: 9)
Clone Overlap for Change version-473, vim.c, c, 57, 57: 1 (CloneClass: 9)
Clone Overlap for Change version-473, vim.c, c, 97, 98: 1 (CloneClass: 31)
Clone Overlap for Change version-473, vim.c, c, 100, 100: 1 (CloneClass: 31)
Clone Overlap for Change version-474, jscript.c, c, 124, 124: 1 (CloneClass: 38)
Clone Overlap for Change version-474, jscript.c, c, 129, 133: 1 (CloneClass: 25)
Clone Overlap for Change version-474, jscript.c, c, 158, 159: 2 (CloneClass: 19)
Clone Overlap for Change version-474, jscript.c, c, 528, 529: 1 (CloneClass: 47)
Clone Overlap for Change version-474, jscript.c, c, 553, 555: 1 (CloneClass: 29)
Clone Overlap for Change version-474, sql.c, c, 242, 242: 1 (CloneClass: 38)
Clone Overlap for Change version-474, sql.c, c, 247, 250: 1 (CloneClass: 25)
Clone Overlap for Change version-474, sql.c, c, 275, 276: 1 (CloneClass: 19)
Clone Overlap for Change version-474, sql.c, c, 685, 685: 1 (CloneClass: 3)
Clone Overlap for Change version-474, sql.c, c, 715, 715: 1 (CloneClass: 48)
Clone Overlap for Change version-474, sql.c, c, 839, 839: 1 (CloneClass: 4)
Clone Overlap for Change version-474, sql.c, c, 912, 913: 1 (CloneClass: 21)
Clone Overlap for Change version-474, sql.c, c, 915, 915: 1 (CloneClass: 21)
Clone Overlap for Change version-475, jscript.c, d, 108, 119: 2 (CloneClass: 6)
Clone Overlap for Change version-475, jscript.c, a, 138, 138: 1 (CloneClass: 70)
Clone Overlap for Change version-475, jscript.c, d, 151, 160: 2 (CloneClass: 19)
Clone Overlap for Change version-475, jscript.c, d, 197, 210: 2 (CloneClass: 36, 52)
Clone Overlap for Change version-475, jscript.c, a, 322, 322: 1 (CloneClass: 20)
Clone Overlap for Change version-475, jscript.c, d, 384, 428: 5 (CloneClass: 5, 7, 24, 37, 39)
Clone Overlap for Change version-475, sql.c, a, 255, 255: 1 (CloneClass: 70)
Clone Overlap for Change version-475, sql.c, d, 268, 277: 1 (CloneClass: 19)
Clone Overlap for Change version-476, jscript.c, a, 180, 180: 1 (CloneClass: 18)
Clone Overlap for Change version-476, jscript.c, d, 242, 247: 1 (CloneClass: 54)
Clone Overlap for Change version-478, vim.c, c, 22, 22: 1 (CloneClass: 85)
Clone Overlap for Change version-478, vim.c, c, 26, 26: 1 (CloneClass: 85)
Clone Overlap for Change version-478, vim.c, c, 67, 67: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, a, 68, 68: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, c, 88, 88: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, a, 89, 89: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, c, 98, 101: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, a, 102, 102: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, c, 104, 104: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, c, 106, 106: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, a, 107, 107: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, c, 110, 110: 1 (CloneClass: 10)
Clone Overlap for Change version-478, vim.c, c, 113, 113: 1 (CloneClass: 10)
Clone Overlap for Change version-486, php.c, c, 41, 43: 1 (CloneClass: 12)
Clone Overlap for Change version-486, php.c, c, 46, 46: 1 (CloneClass: 12)
Clone Overlap for Change version-486, php.c, a, 47, 47: 1 (CloneClass: 12)
Clone Overlap for Change version-486, php.c, c, 96, 96: 1 (CloneClass: 28)
Clone Overlap for Change version-523, c.c, a, 1664, 1664: 1 (CloneClass: 81)
Clone Overlap for Change version-524, get.c, c, 244, 244: 1 (CloneClass: 30)
Clone Overlap for Change version-524, get.c, c, 247, 247: 1 (CloneClass: 30)
Clone Overlap for Change version-525, python.c, c, 123, 152: 2 (CloneClass: 35)
Clone Overlap for Change version-525, python.c, c, 155, 155: 1 (CloneClass: 26)
Clone Overlap for Change version-528, python.c, c, 190, 190: 1 (CloneClass: 82)
Clone Overlap for Change version-535, eiffel.c, a, 274, 274: 1 (CloneClass: 98)
Clone Overlap for Change version-535, eiffel.c, c, 276, 276: 1 (CloneClass: 98)
Clone Overlap for Change version-535, jscript.c, c, 183, 185: 1 (CloneClass: 58)
Clone Overlap for Change version-535, jscript.c, c, 187, 187: 1 (CloneClass: 58)
